Num of Sent,Total Words,Nouns,Verbs ,Adj,Adv,Allcon,ExptempCon,IntVerbs,CausalVerbs,NounPhraseDens,VerbPhraseDens,AdvPhraseDens,PrepPhraseDens,AgtlessPassVoiceDens,TextEasaPCWdConc,TextEasaPCRfCoh,TextEasaPCdpCoh,TextEasaPCCon,TextEasaPCTemp,ContWdOvlpAdjSent,ArgOvrlapAllsent ,ContWdOvlpAllSent,LSAOvlpAdjSent,LSASentAll,LexdivContWd,Lexdivallword,RintPartIntVbs,RCasPartCausalVbs,LeftEmbWdsBefMainVrb,NumModPerNounPhrase,SentSyntSimAdjSent,SenSynSimAllComb,CWdFreqContWds,FamContWds,ConContWds,ImagContWds,MeaningContWds,PolyContWds,MnSentLen,SentlenStanDev,WdlenNumofSyll,WdlenNumofSyllSD,FeschRd,LIWCWds>6 let ,Total Function Words,Total Pronouns ,Personal Pronouns,LIWC1stpersing,LIWC1stpersplur,LIWC2ndper ,LIWC3rdpersing,LIWC3rdpersplur,LIWCImperspron,LIWCArt,ÿLIWCComVbs ,ÿLIWCAuxVbs ,LIWCPasttenseVbs ,LIWCPrestensVbs ,LIWCFuttensVbs,LIWCPrep ,LIWCConj,LIWCNeg,ÿLIWCQuant,LIWCNum,LIWCAffectProc,LIWCPosEmot,LIWCNegEmot,LIWCCogMech,LIWCInsight,LIWCCausal,LIWCDiscrep,LIWCTent,LIWCCertain,LIWCInhibit,LIWCIncl,LIWCExcl,LIWCPercProc,LIWCRelativity,LIWCNegWdsLM ,LIWCPosWrdsLM,LIWCModWdsStrongLM,LIWCModWrdsWeakLM,LIWCUncertLM,LIWCModalVrbsLM,LIWCPassVbsLM,class
285,6550,315.4,104.73,91.39,34.27,81.75,19.98,12.33,23.9,388.71,159.4,21.08,149.61,13.43,-0.12,-0.64,-0.19,-1.8,-0.76,0.08,0.35,0.08,0.24,0.24,0.58,0.35,1.49,0.33,5.62,1.15,0.08,0.07,1.95,554.39,373.41,401.45,425.77,3.75,22.99,14.23,1.72,1.02,38.22,31.35,47.41,5.18,1.96,0.13,0.97,0.3,0.11,0.45,3.22,9.41,6.92,5.29,1.99,3.92,0.53,17.83,5.71,0.39,2.7,1.18,3.83,3.42,0.38,13.9,1.71,2.49,0.44,1.35,0.78,0.74,5.88,1,0.58,15.7,0.49,1.43,0.36,0.13,0.31,0.66,0.8,F
304,6318,318.58,100.08,84.79,31.81,75.56,20.35,12.45,22.41,392.04,159.31,20.56,145.79,11.22,-0.34,-0.5,-0.27,-1.07,-0.72,0.08,0.37,0.08,0.23,0.25,0.58,0.34,1.64,0.4,4.69,1.17,0.08,0.07,1.98,556.84,374.55,401.14,425.84,3.66,20.79,12.68,1.72,1.03,40.3,30.62,46.69,5.85,2.55,0.1,2.07,0.02,0.02,0.35,3.3,10.01,7.14,5.63,1.98,3.3,1.04,16.96,4.61,0.26,2.36,3.86,4,3.63,0.37,12.21,1.32,2.34,0.45,0.62,0.88,0.65,5.5,0.43,0.81,13.92,0.44,1.63,0.83,0.13,0.29,1.21,1.16,F
73,1390,311.51,89.93,81.3,18.71,84.89,20.14,12.23,22.3,430.22,134.53,11.51,168.35,17.27,-0.07,-0.68,0.38,-1.4,0.94,0.08,0.26,0.08,0.27,0.29,0.63,0.38,1.78,0.5,4.3,1.11,0.09,0.07,1.98,551.61,382.17,406.45,438.37,3.32,19.04,14.6,1.71,0.99,49.93,34.38,48.89,3.13,1.15,0,0.15,0,0.08,0.92,1.99,11,5.65,4.66,2.83,1.83,0.38,19.1,4.97,0.23,3.36,3.97,4.66,3.9,0.76,10.16,1.22,1.99,0.15,0.92,0.61,0.61,4.51,0.46,0.23,14.21,1.15,1.6,0.38,0,0.46,0.46,1.15,N
78,1425,316.49,96.84,77.19,24.56,80.7,20.35,11.93,19.65,415.44,136.14,16.84,162.11,14.74,-0.01,-0.7,-0.11,-1.72,0.5,0.08,0.29,0.03,0.28,0.32,0.62,0.38,1.33,0.55,3.99,1.09,0.07,0.07,2,554.96,386.81,408.8,435,3.43,18.27,13.63,1.71,0.98,44.05,32.07,44.56,3.23,1.26,0,0,0,0.07,1.19,1.96,8.98,5.4,4.35,2.95,1.61,0.28,17.54,4.77,0.35,3.37,9.05,4.14,3.51,0.63,10.25,1.05,1.68,0.14,1.12,0.42,0.7,4.7,0.63,0.28,16,0.75,2.02,0.3,0.07,0.07,0.45,0.9,N
292,5062,345.29,90.88,88.34,23.29,73.96,21.01,8.67,22.91,389.35,142.22,14.44,146.29,11.84,-0.4,-0.96,-0.1,-0.79,0.39,0.07,0.3,0.07,0.21,0.2,0.56,0.36,1.71,0.37,3.12,1.25,0.11,0.07,1.94,388.31,388.98,408.76,424.7,3.54,16.75,11.93,1.75,0.68,41.87,31.67,42.76,5.22,2.68,0.18,1.97,0.04,0.02,0.47,2.54,9.08,5.59,4.59,1.52,3.23,0.47,16.25,4.33,0.14,2.46,5.67,4.47,4,0.47,12.57,1.75,3.21,0.28,0.43,0.79,0.7,5.65,0.3,0.59,15.13,0.35,2.97,0.45,0.12,0.29,0.68,0.78,F
308,5939,338.76,102,85.28,25.01,72.13,19.79,11.09,23.01,398.5,145.14,18.15,149.93,10.99,-0.4,-0.8,-0.3,-0.83,-0.36,0.09,0.35,0.05,0.22,0.24,0.56,0.36,1.55,0.37,3.85,1.23,0.08,0.07,1.95,555.17,381.52,404.34,420.25,3.58,19.13,12.49,1.75,1.02,39.37,32.9,42.86,4.57,2.46,0.17,2.02,0,0.05,0.22,2.11,8.44,6.06,4.99,1.77,3.34,0.45,16.81,4.75,0.1,2.78,6.12,4.78,4.06,0.72,12.95,2.09,2.59,0.29,0.54,0.76,0.51,6.35,0.29,0.57,15.35,0.81,2.61,0.44,0.11,0.37,0.6,0.85,F
507,9410,333.07,101.38,75.16,21.8,77.48,20.77,11.9,25.66,398.36,164.07,14.48,153.4,12.97,-0.57,0.18,0.02,-1.24,0.18,0.12,0.46,0.12,0.27,0.32,0.47,0.29,1.81,0.31,4.99,1.1,0.09,0.08,1.95,547.4,378,397.47,419.05,3.64,20.56,16.11,1.71,1,41.17,28.55,46.02,4.13,2.6,0.09,1.51,0.01,0.31,0.67,2.53,9.66,7.21,5.44,1.88,3.38,0.96,17.89,4.73,0.48,2.22,1.18,4.7,4.38,0.31,12.76,1.69,2.74,0.45,1.66,0.65,0.67,4.62,1.33,0.52,14.45,0.35,1.51,0.66,0.28,0.59,1.13,1.19,N
389,7237,337.15,100.97,78.52,21.12,82.7,24.66,13.88,25.76,406.59,151.55,14.42,157.81,12.12,-0.55,-0.04,0.25,-1.42,0.35,0.11,0.47,0.07,0.24,0.29,0.48,0.29,2.1,0.35,4.94,1.13,0.09,0.08,1.94,549.43,376.49,397.87,422.92,3.52,19.43,15.71,1.73,1.01,40.77,32.53,45.16,4.78,2.49,0.1,1.38,0.01,0.3,0.69,2.3,9.73,6.39,4.93,1.68,2.59,1.18,18.09,4.94,0.47,2.51,0.49,3.95,3.74,0.19,13.65,1.68,2.27,0.55,2.67,0.57,0.93,4.81,1.7,1.06,14.71,0.36,1.15,0.72,0.43,0.6,1.31,1.12,N
542,11165,346.34,101.4,94.39,27.94,82.73,21.72,12.01,24.35,392.18,136.77,16.89,139.39,9.76,-0.08,0.27,-0.04,-1.74,0,0.15,0.51,0.09,0.28,0.29,0.48,0.31,2,0.36,5.44,1.3,0.1,0.08,1.88,558.63,383.23,407.24,425.84,3.4,21.53,12.87,1.8,1.05,32.91,36.28,42.89,5.23,2.75,0.08,2.35,0.15,0,0.16,2.49,7.55,5.7,3.87,1.91,3.11,0.36,16.09,5.99,0.31,3.76,1.98,3.78,3.27,0.5,15.32,1.71,3.12,0.5,0.7,0.9,1.1,7.28,0.8,0.72,16.65,0.72,1.33,0.31,0.08,0.52,0.6,0.41,F
561,12033,364.26,93.57,102.71,26.51,88.52,16.43,12.35,22.4,407.3,117.19,17.19,144.76,8.99,-0.28,-0.01,-0.28,-2.02,0.06,0.14,0.45,0.09,0.29,0.3,0.47,0.31,1.4,0.37,5.7,1.29,0.09,0.08,1.83,549.4,382.66,403.83,421.67,3.27,22.26,14.33,1.86,1.05,27.1,38.85,40.81,4.26,1.94,0.06,1.65,0.02,0.03,0.18,2.32,6.52,4.66,3.43,1.65,2.41,0.28,16.15,6.35,0.35,3.24,2,4.66,3.76,0.9,15.43,1.79,2.93,0.51,0.8,0.9,1.1,7.33,0.69,0.61,15.35,1.07,1.45,0.21,0.15,0.89,0.5,0.35,F
698,13090,362.3,100.69,91.96,32.68,92.2,20.65,13.44,24.74,391.2,134.96,19.53,131.91,6.43,0.08,-0.64,0.33,-2.48,-0.01,0.11,0.58,0.07,0.23,0.24,0.54,0.36,2.1,0.28,5.21,1.31,0.1,0.09,1.87,555.32,386.19,407.35,428.25,3.43,20.08,10.4,1.84,1.06,30.88,38.31,41.2,5.49,3.47,0.05,2.83,0.05,0.07,0.47,2.02,6.53,5.59,3.81,1.73,3.09,0.4,14.79,6.7,0.4,3.48,1.88,5.08,4.1,0.98,16.86,2.14,3.74,0.55,1.2,0.93,1.17,7.44,1.01,0.56,14.37,1.24,2.18,0.37,0.18,0.65,0.77,0.43,N
886,16558,357.83,103.14,100.58,27.32,94.75,18.18,11.9,25.66,403.77,137.33,17.91,130.8,5.44,0,-0.63,0,-2.72,0.42,0.11,0.41,0.07,0.23,0.23,0.51,0.34,1.87,33.45,4.24,1.22,0.09,0.08,1.9,557.77,383.25,406.26,432.38,3.42,19.84,12.22,1.87,1.1,28.33,38.36,40.86,6.26,3.84,0.19,3.24,0.04,0.06,0.3,2.42,5.56,5.34,3.45,1.39,3.32,0.38,14.99,7.13,0.31,2.83,1.83,5.15,3.93,1.19,17.35,2.21,3.49,0.52,1.14,0.91,1.04,8.17,0.81,0.6,13.99,1.27,2.18,0.45,0.09,0.71,0.61,0.27,N
472,9548,359.19,101.45,114.62,30.51,76.63,20.02,9.32,25.32,383.62,129.51,17.15,141.34,5.86,0.04,-0.6,0.12,-1.23,-0.21,0.11,0.58,0.06,0.24,0.26,0.57,0.37,2.05,0.34,5.4,1.28,0.09,0.08,1.83,551.35,391.12,411.79,430.33,3.3,20.59,14.38,1.86,1.1,29.01,37.55,38.77,4.05,1.42,0.1,1.2,0.01,0.03,0.09,2.63,7.8,4.18,2.72,1.24,2.01,0.49,16.37,4.89,0.12,1.66,2.16,3.41,2.44,0.97,12.62,1.96,3.21,0.4,0.9,0.69,0.66,4.96,0.25,1.03,13.59,1.42,1.42,0.26,0.27,0.82,0.66,0.4,F
354,6802,331.99,88.12,115.56,24.27,73.41,23.69,9.91,21.18,403.74,119.55,17.1,134.8,5.52,-0.06,-0.23,-0.11,-1.17,0.18,0.12,0.47,0.08,0.25,0.25,0.53,0.35,3.05,0.28,4.23,1.27,0.08,0.07,1.87,554.33,393.64,415.61,427.48,3.06,19.14,13.07,1.77,1.05,37.37,36.23,40.97,4.87,2.35,0.12,2.14,0.01,0,0.07,2.51,8.16,4.64,3.38,1.02,2.14,0.96,15.76,5.01,0.19,1.98,2.71,3.5,2.54,0.96,12.84,1.62,3.14,0.39,0.91,0.61,0.58,5.6,0.36,0.57,13.77,1.17,1.62,0.72,0.28,0.79,1.17,0.42,F
423,8414,352.57,101.95,108.68,26.8,87.73,28.4,12.94,20.51,406.04,143.1,19.26,143.62,4.54,0.11,-0.57,0.56,-1.42,0.33,0.09,0.52,0.06,0.23,0.25,0.52,0.33,1.67,0.44,4.45,1.21,0.08,0.07,1.86,552.59,394.92,413.84,431.3,3.36,20.11,14.35,1.79,1.04,34.63,33.94,41.8,4.2,1.91,0.08,1.68,0.01,0,0.13,2.29,9.16,4.23,2.92,1.31,1.89,0.82,17.05,5.5,0.11,2.19,1.71,3.07,2.3,0.71,14.15,1.78,3.19,0.52,0.56,1.22,0.51,6.38,0.31,1.31,15.88,1.42,1.76,0.81,0.06,0.59,1.03,0.36,N
357,7273,338.89,103.13,111.54,33.83,84.51,30.69,14.07,24.03,394.41,147.96,20.76,143.75,4.26,0.18,-0.38,0.45,-1.33,0.06,0.1,0.42,0.07,0.24,0.26,0.51,0.33,1.7,0.36,4.69,1.23,0.08,0.06,1.88,556.54,395.72,415.95,430.05,3.37,20.72,13.72,1.78,1.03,34.96,32.96,41.25,4.3,2.01,0.07,1.86,0,0,0.08,2.29,8.55,4.34,2.95,1.25,2.22,0.62,17.08,5.32,0.21,2.18,1.72,2.89,2.34,0.54,12.45,1.36,2.25,0.81,0.68,1.08,0.33,5.67,0.51,1.34,16.31,1.13,1.79,0.58,0.14,0.26,0.79,0.37,N
459,10075,379.38,81.88,83.99,23.45,83.19,19.67,11.26,22.36,395.11,121.99,15.27,142.32,8.38,0.33,-0.49,-0.04,-1.48,-0.32,0.1,0.42,0.1,0.24,0.26,0.55,0.34,2.16,0.3,4.77,1.35,0.09,0.07,1.93,555.83,393.37,414.7,435.58,3.4,22.11,16.05,1.77,1.03,35.04,34.27,40.8,4.25,1.6,0.08,0.98,0.03,0.13,0.38,2.66,8.6,4.98,3.98,1.5,2.5,0.54,15.65,5.28,0.12,2.28,5.1,3.54,3.2,0.31,11.66,1.41,1.76,0.36,0.82,0.52,0.63,5.78,0.35,0.4,13.06,0.25,1.93,0.44,0.14,0.35,0.68,0.65,F
484,11599,378.48,84.46,87.92,23.78,83.45,21.02,9.19,20.01,401.37,121.44,14.35,141.37,8.72,0.38,-0.35,0.2,-1.46,-0.26,0.1,0.47,0.06,0.24,0.28,0.54,0.34,2.65,0.37,4.85,1.35,0.08,0.07,1.91,556.18,394.44,416.63,435.38,3.49,24,16.12,1.78,1.05,31.63,35.49,40.38,4.32,1.24,0.05,0.85,0.05,0.09,0.2,3.08,8.76,4.86,3.92,1.53,2.27,0.61,15.24,5.27,0.13,2.1,5.07,3.72,3.42,0.26,12.28,1.71,2.2,0.43,0.82,0.45,0.68,5.55,0.38,0.47,13.1,0.25,2.22,0.44,0.12,0.39,0.77,0.72,F
176,3656,328.56,102.36,92.06,32.56,75.74,36.26,10.37,27.73,382.97,148.62,21.13,151.78,17.05,-0.09,-0.84,0.22,-1.12,-0.53,0.07,0.48,0.07,0.2,0.18,0.61,0.37,1.98,0.43,5.31,1.18,0.08,0.08,2.06,563.89,384.19,415.74,426.38,3.92,20.52,12.3,1.73,1,40.08,31.83,45.59,4.47,2.37,0.03,1.93,0,0.08,0.33,2.1,10.54,7.47,5.42,3.71,2.7,0.49,16.57,4.31,0.25,2.86,4.22,4.71,4.01,0.71,10.84,0.9,2.18,0.41,0.54,1.12,0.63,4.69,0.57,1.44,18.86,0.28,2.59,0.56,0.03,0.23,0.73,0.79,N
142,2771,333.58,100.68,91.55,26.77,88.71,31.39,8.92,30.03,383.74,152.43,18.96,144.89,15.15,-0.2,-0.55,0.58,-2.04,0.65,0.11,0.35,0.05,0.27,0.24,0.65,0.37,2.81,0.37,4.58,1.21,0.08,0.09,2.05,561.53,378.89,406.59,421.05,3.96,18.06,11.44,1.79,1.04,37.24,32.98,45.88,4.88,1.95,0.04,1.37,0.04,0.11,0.4,2.93,9.9,6.68,4.77,3.43,2.24,0.4,16.18,5.35,0.33,3.22,4.05,5.49,4.37,1.12,12.17,0.9,2.24,0.43,0.83,1.26,0.79,5.46,0.47,0.83,17.74,0.28,2.56,0.48,0.19,0.33,0.74,0.7,N
751,14318,377.11,109.89,99.51,28.86,82,15.33,18.95,26.17,381.78,157.6,16.89,123.63,6.28,-0.01,-0.5,-0.28,-1.7,-0.63,0.11,0.62,0.07,0.21,0.2,0.53,0.35,0.99,0.27,4.28,1.24,0.09,0.08,1.92,553.37,382.31,407.88,425.4,3.49,19.36,11.46,1.85,1.06,30.87,35.79,38.36,4.44,2.18,0.02,1.85,0.03,0.02,0.26,2.25,6.49,5.09,3.64,0.69,3.42,0.68,14.84,5.84,0.36,2.44,4.51,4.72,3.74,0.99,13.69,1.56,2.58,0.61,0.91,0.83,0.5,6.55,0.6,0.63,13.89,0.73,1.42,0.67,0.22,1.22,1.07,0.32,F
838,14639,368.7,111.31,98.26,29.5,80,14.56,16.06,30.11,390.06,153.29,19.12,134.6,6.94,-0.19,-0.47,-0.33,-1.64,-0.36,0.11,0.59,0.07,0.23,0.21,0.5,0.33,1.21,0.28,3.77,1.22,0.09,0.08,1.92,551.65,381.33,405.55,424.43,3.52,18.22,10.7,1.87,1.07,29.83,37.06,38,4.43,2.15,0.01,1.89,0,0,0.25,2.28,6.07,4.56,3.45,0.67,3.21,0.39,15.32,5.62,0.27,3.06,4.79,5.16,4.11,1.06,13.83,1.71,2.53,0.67,0.9,0.97,0.42,6.67,0.5,0.46,14.14,0.64,1.58,0.36,0.19,1.46,0.67,0.33,F
946,19893,345.5,93.98,105.89,27.03,77.1,14.59,9.83,22.41,391.54,120.3,18.03,137.7,6.94,-0.37,-0.05,-0.59,-1.86,0.2,0.13,0.61,0.09,0.3,0.28,0.45,0.29,2.09,0.24,4.67,1.37,0.08,0.07,1.84,551.95,377.37,399.59,429.63,3.22,23.94,16.25,1.86,1.06,24.96,39.07,37.52,3.06,1.3,0.02,1.23,0,0,0.04,1.76,6.48,3.62,2.55,1.13,1.84,0.38,14.9,5.29,0.21,3.32,10.79,4.07,2.72,1.35,13.11,2.1,2.32,0.61,1.2,0.82,0.51,5.94,0.72,0.61,14.75,1.18,1.15,0.33,0.17,0.99,0.58,0.32,N
1307,23438,398.78,94.39,94.41,24.72,81.8,15.26,14.16,25.29,391.83,127.4,14.11,127.23,7.26,0.22,-0.18,-0.53,-2.39,0.04,0.13,0.44,0.08,0.27,0.28,0.47,0.32,1.29,0.17,4.04,1.36,0.1,0.08,1.81,551.84,401.24,416.68,427.98,3.43,18.41,12.99,1.91,1.11,26.73,39.87,35.84,3.74,0.94,0.02,0.81,0,0,0.11,2.8,6.3,3.86,3.13,0.7,2.35,0.53,14.13,5.75,0.21,2.45,4.85,3.06,2.55,0.52,12.8,0.97,2.11,0.47,1.51,0.8,0.56,6.33,0.73,0.52,13.56,0.39,0.85,0.39,0.2,0.96,0.74,0.31,N
945,19716,334.74,90.55,90.29,24.95,77.64,16.74,7.89,26.43,415.23,126.39,13.6,142.91,9.55,-0.2,0.08,-0.17,-1.47,0.21,0.13,0.64,0.13,0.26,0.26,0.5,0.3,2.38,0.26,4.75,1.16,0.09,0.07,1.89,549.87,387.81,411.56,424.07,3.21,21.06,12.41,1.74,1.03,38.38,34.41,44.74,4.98,2.89,0.03,2.74,0,0,0.11,2.09,9.64,4.91,3.9,1.6,2.25,0.56,16.88,5.3,0.13,2.52,2.61,3.71,2.76,0.96,12.82,0.96,3.24,0.34,1.26,0.56,0.77,5.72,0.63,0.32,13.86,1.27,1.58,0.33,0.29,1,0.72,0.58,F
1061,18597,351.31,91.48,90.28,27.71,80.12,16.92,9.19,25.27,408.02,130.82,16.38,150.44,10.92,-0.54,-0.39,-0.2,-1.56,0.63,0.1,0.54,0.07,0.23,0.22,0.51,0.32,2.32,0.27,3.88,1.18,0.08,0.07,1.92,550.21,385.51,407.29,417.08,3.27,17.46,11.79,1.77,1.06,39.23,34.13,44.1,4.13,1.81,0.06,1.64,0,0.01,0.09,2.33,9.66,5.38,4.31,1.86,2.37,0.46,17.92,5.39,0.19,2.49,1.11,3.64,2.4,1.23,13.5,1.08,3.29,0.39,1.02,0.7,0.7,6.27,0.43,0.28,14.32,1.27,1.5,0.3,0.26,1.18,0.77,0.7,F
591,11717,366.93,102.34,120.07,26.79,89.51,12.73,9.55,24.15,374.36,155.64,16.95,131.54,9.13,-0.01,-0.79,-0.3,-2.74,-0.17,0.09,0.39,0.06,0.24,0.26,0.54,0.36,1.54,0.32,5.16,1.33,0.08,0.07,1.85,550.73,384.31,407.07,421.43,3.55,21.03,13.44,1.91,1.11,23.69,38.84,39.98,3.33,1.46,0.24,1.03,0.02,0.06,0.1,1.87,7.17,5.2,4.18,0.91,3.2,0.66,15.94,6.55,0.24,3.13,0.98,4.68,3.15,1.52,15.03,1.15,3.04,0.25,1.69,0.95,0.87,6.82,0.91,0.32,14.24,2.18,2.07,0.46,0.39,1.3,0.75,0.64,N
1052,19718,369.77,100.92,113.98,24.46,91.15,15.66,9.99,22.31,388.85,150.75,16.21,131.61,9,-0.2,-1.13,-0.28,-2.88,0.47,0.07,0.46,0.07,0.2,0.22,0.54,0.36,1.57,0.25,4,1.26,0.08,0.08,1.86,549.25,379.57,405.93,425.41,3.5,18.88,14.92,1.92,1.12,25.17,38.33,39.99,4.37,2.55,0.18,2.2,0.01,0,0.16,1.82,6.55,4.63,3.62,0.92,2.89,0.56,15.9,6.86,0.23,2.82,0.85,4.83,3.31,1.5,14.85,1.11,2.37,0.34,1.49,0.87,0.96,7.78,0.78,0.35,14.63,1.83,2.01,0.43,0.33,1.33,0.72,0.39,N
252,3511,330.09,116.99,101.59,21.42,73.98,24.9,10.34,31.77,416.55,161.67,15.2,143.94,16.75,-0.85,-1.15,0.17,-1.04,0.65,0.07,0.21,0.11,0.2,0.21,0.5,0.35,1.85,0.39,3.36,1,0.11,0.08,1.91,551.86,383.04,395.32,417.39,3.71,13.7,11.98,1.75,0.98,45.18,35.33,44.24,3.52,0.99,0,0.66,0.06,0,0.27,2.53,8.46,6.8,4.6,2.83,2.77,0.42,17.94,4.27,0.33,4.39,2.41,3.16,2.2,0.96,13.36,2.53,2.08,0.72,1.26,0.75,0.48,5.42,0.39,2.71,14.44,1.63,0.69,0.12,0.33,0.87,0.48,1.29,F
338,5237,322.8,108.88,97.71,22.55,80.29,25.73,10.06,28.2,407.82,167.37,14.52,162.88,16.47,-0.67,-0.79,0.54,-1.01,0.66,0.09,0.26,0.05,0.25,0.24,0.5,0.32,2.66,0.39,4.02,1.06,0.09,0.08,1.92,554.44,381.84,397.38,422.29,3.74,15.51,11.99,1.75,1.01,43.24,34.64,45.79,4.09,1.05,0,0.75,0.02,0,0.28,3.04,7.69,7.31,5.28,2.68,3.42,0.32,19.19,4.69,0.38,3.77,2.17,3.42,2.58,0.83,13.87,2.36,2.38,0.7,0.91,0.97,0.34,5.78,0.68,0.26,14.92,0.89,0.66,0.2,0.36,0.83,0.64,1.45,F
612,10231,376.72,95.73,90.14,33.05,84.78,20.71,9.23,31.7,445.85,119.67,21.56,170.22,7.16,0.33,-1.44,0.29,-2.12,0.44,0.05,0.32,0.04,0.15,0.12,0.55,0.36,1.92,0.22,4.25,0.93,0.1,0.08,1.98,557.97,399.18,421.62,432.63,3.42,16.98,10.32,1.69,1,46.45,30.12,42.51,2.3,0.17,0,0.07,0,0,0.1,2.13,7.77,4.89,3.11,2.77,1.69,0.18,19.28,5.81,0.08,2.57,1.7,3.87,3.01,0.85,12.56,0.9,3.5,0.32,0.85,0.69,0.36,5.54,0.44,0.71,17.95,1.25,1.92,0.18,0.1,0.3,0.29,0.36,N
